代码,名称,样本量,日均成交额,日均涨跌幅
159612,标普500ETF,757,443619528.31998414,0.11555555555555556
159688,恒生互联网ETF,579,196357612.58944446,0.11448412698412704
159633,中证1000ETF易方达,706,134018985.98625395,0.11444444444444446
512100,中证1000ETF,1458,1997810898.5079365,0.11253968253968251
560010,中证1000ETF指数,705,376924611.3055556,0.1117857142857143
513050,中概互联网ETF,1459,2535368626.1865077,0.11130952380952379
159845,中证1000ETF,1033,768271009.3646667,0.11126984126984124
159629,1000ETF,707,270496254.06476986,0.11107142857142858
159605,中概互联ETF,869,1035600845.4867262,0.11019841269841271
513920,港股通央企红利ETF,360,120625012.24206349,0.10992063492063493
159755,电池ETF,977,122808567.49865474,0.10944444444444441
159607,中概互联网ETF,869,366066471.7571071,0.10805555555555557
159732,消费电子ETF,935,135215039.91546032,0.10722222222222223
159516,半导体设备ETF,469,129031629.45655951,0.10583333333333336
512710,军工龙头ETF,1418,329264040.46428573,0.10424603174603175
159781,科创创业ETF,970,140175535.7806508,0.10301587301587298
513630,港股红利指数ETF,379,180039748.6468254,0.10158730158730159
517520,黄金股ETF,406,128079252.53968254,0.10055555555555554
515030,新能源车ETF,1295,112290738.92460318,0.09710317460317462
515880,通信ETF,1410,208957812.06349206,0.09456349206349206
159822,新经济ETF,1140,293700539.6245238,0.09142857142857146
510760,上证综指ETF,1166,162930226.2063492,0.08892857142857144
159699,恒生消费ETF,450,105372079.95113492,0.08865079365079363
515050,5G通信ETF,1388,123796875.07539682,0.08738095238095236
513310,中韩半导体ETF,612,669892962.3690476,0.08519841269841272
512500,中证500ETF华夏,1459,237546786.5,0.0801587301587302
510500,中证500ETF,1459,2069975029.9563491,0.07999999999999999
510210,上证指数ETF,1458,375409509.39285713,0.07777777777777777
563080,中证A50ETF易方达,315,134641317.25,0.07646825396825396
159593,中证A50指数ETF,319,287794177.1721786,0.0757936507936508
510310,沪深300ETF易方达,1459,1722453717.3095238,0.0757142857142857
510100,上证50ETF易方达,1392,149206338.81746033,0.07555555555555557
515800,800ETF,1345,102055071.23015873,0.07523809523809523
159596,A50ETF华宝,315,133608283.22515872,0.075
510050,上证50ETF,1459,2593073115.178571,0.07472222222222222
159300,300ETF,263,107829302.04737696,0.07464285714285712
510300,沪深300ETF,1459,5331893883.904762,0.07456349206349208
560350,中证A50ETF指数基金,319,170022865.2777778,0.07444444444444445
